title,url,year,citations
Topic Model for Identifying Suicidal Ideation in {C}hinese Microblog,https://aclanthology.org/Y15-1064,2015,28
Predicting Sector Index Movement with Microblogging Public Mood Time Series on Social Issues,https://aclanthology.org/Y15-1065,2015,2
Proceedings of the 12th International Conference on Natural Language Processing,https://aclanthology.org/W15-5900,2015,0
Keynote Lecture 1: Scientific Paper Analysis,https://aclanthology.org/W15-5901,2015,0
Addressing Class Imbalance in Grammatical Error Detection with Evaluation Metric Optimization,https://aclanthology.org/W15-5902,2015,0
Words are not Equal: Graded Weighting Model for Building Composite Document Vectors,https://aclanthology.org/W15-5903,2015,9
Online Adspace Posts{'} Category Classification,https://aclanthology.org/W15-5904,2015,0
Noun Phrase Chunking for {M}arathi using Distant Supervision,https://aclanthology.org/W15-5905,2015,1
Self-Organizing Maps for Classification of a Multi-Labeled Corpus,https://aclanthology.org/W15-5906,2015,0
Word Sense Disambiguation in {H}indi Language Using Hyperspace Analogue to Language and Fuzzy {C}-Means Clustering,https://aclanthology.org/W15-5907,2015,7
Using Word Embeddings for Bilingual Unsupervised {WSD},https://aclanthology.org/W15-5908,2015,2
Compositionality in {B}angla Compound Verbs and their Processing in the Mental Lexicon,https://aclanthology.org/W15-5909,2015,0
{I}ndo{W}ord{N}et Dictionary: An Online Multilingual Dictionary using {I}ndo{W}ord{N}et,https://aclanthology.org/W15-5910,2015,1
Let Sense Bags Do Talking: Cross Lingual Word Semantic Similarity for {E}nglish and {H}indi,https://aclanthology.org/W15-5911,2015,0
A temporal expression recognition system for medical documents by,https://aclanthology.org/W15-5912,2015,2
An unsupervised {EM} method to infer time variation in sense probabilities,https://aclanthology.org/W15-5913,2015,1
Solving Data Sparsity by Morphology Injection in Factored {SMT},https://aclanthology.org/W15-5914,2015,5
Authorship Attribution in {B}engali Language,https://aclanthology.org/W15-5915,2015,16
{T}rans{C}hat: Cross-Lingual Instant Messaging for {I}ndian Languages,https://aclanthology.org/W15-5916,2015,1
A Database of Infant Cry Sounds to Study the Likely Cause of Cry,https://aclanthology.org/W15-5917,2015,14
Perplexed {B}ayes Classifier,https://aclanthology.org/W15-5918,2015,0
An Empirical Study of Diversity of Word Alignment and its Symmetrization Techniques for System Combination,https://aclanthology.org/W15-5919,2015,0
Domain Sentiment Matters: A Two Stage Sentiment Analyzer,https://aclanthology.org/W15-5920,2015,6
Extracting Information from {I}ndian First Names,https://aclanthology.org/W15-5921,2015,0
punct-An Alternative Verb Semantic Ontology Representation,https://aclanthology.org/W15-5922,2015,0
{SMT} Errors Requiring Grammatical Knowledge for Prevention,https://aclanthology.org/W15-5923,2015,1
Isolated Word Recognition System for {M}alayalam using Machine Learning,https://aclanthology.org/W15-5924,2015,1
Judge a Book by its Cover: Conservative Focused Crawling under Resource Constraints,https://aclanthology.org/W15-5925,2015,0
Text Normalization and Unit Selection for a Memory Based Non Uniform Unit Selection {TTS} in {M}alayalam,https://aclanthology.org/W15-5926,2015,0
Morphological Analyzer for {G}ujarati using Paradigm based approach with Knowledge based and Statistical Methods,https://aclanthology.org/W15-5927,2015,0
Resolution of Pronominal Anaphora for {T}elugu Dialogues,https://aclanthology.org/W15-5928,2015,2
A Study on Divergence in {M}alayalam and {T}amil Language in Machine Translation Perceptive,https://aclanthology.org/W15-5929,2015,0
Automatic conversion of {I}ndian Language Morphological Processors into Grammatical Framework ({GF}),https://aclanthology.org/W15-5930,2015,0
Logistic Regression for Automatic Lexical Level Morphological Paradigm Selection for {K}onkani Nouns,https://aclanthology.org/W15-5931,2015,0
{R}uchi: Rating Individual Food Items in Restaurant Reviews,https://aclanthology.org/W15-5932,2015,7
Dependency Extraction for Knowledge-based Domain Classification,https://aclanthology.org/W15-5933,2015,0
An Approach to Collective Entity Linking,https://aclanthology.org/W15-5934,2015,0
Development of Speech corpora for different Speech Recognition tasks in {M}alayalam language,https://aclanthology.org/W15-5935,2015,2
{POS} Tagging of {H}indi-{E}nglish Code Mixed Text from Social Media: Some Machine Learning Experiments,https://aclanthology.org/W15-5936,2015,20
Automated Analysis of {B}angla Poetry for Classification and Poet Identification,https://aclanthology.org/W15-5937,2015,17
Sentence Boundary Detection for Social Media Text,https://aclanthology.org/W15-5938,2015,12
Mood Classification of {H}indi Songs based on Lyrics,https://aclanthology.org/W15-5939,2015,15
"Using Skipgrams, Bigrams, and Part of Speech Features for Sentiment Classification of {T}witter Messages",https://aclanthology.org/W15-5940,2015,5
A Hybrid Approach for Bracketing Noun Sequence,https://aclanthology.org/W15-5941,2015,0
Simultaneous Feature Selection and Parameter Optimization Using Multi-objective Optimization for Sentiment Analysis,https://aclanthology.org/W15-5942,2015,0
Detection of Multiword Expressions for {H}indi Language using Word Embeddings and {W}ord{N}et-based Features,https://aclanthology.org/W15-5943,2015,8
Augmenting Pivot based {SMT} with word segmentation,https://aclanthology.org/W15-5944,2015,3
Using Multilingual Topic Models for Improved Alignment in {E}nglish-{H}indi {MT},https://aclanthology.org/W15-5945,2015,3
Triangulation of Reordering Tables: An Advancement Over Phrase Table Triangulation in Pivot-Based {SMT},https://aclanthology.org/W15-5946,2015,1
Post-editing a chapter of a specialized textbook into 7 languages: importance of terminological proximity with {E}nglish for productivity,https://aclanthology.org/W15-5947,2015,2
Generating Translation Corpora in Indic Languages:Cultivating Bilingual Texts for Cross Lingual Fertilization,https://aclanthology.org/W15-5948,2015,2
Translation Quality and Effort: Options versus Post-editing,https://aclanthology.org/W15-5949,2015,1
Investigating the potential of post-ordering {SMT} output to improve translation quality,https://aclanthology.org/W15-5950,2015,0
Applying {S}anskrit Concepts for Reordering in {MT},https://aclanthology.org/W15-5951,2015,2
Dialogue Act Recognition for Text-based {S}inhala,https://aclanthology.org/W15-5952,2015,2
A Semi Supervised Dialog Act Tagging for {T}elugu,https://aclanthology.org/W15-5953,2015,3
