Unique Word,Year,Count,Fitted Value,Area Ratio
sentiment analysis,2016.0,70,90.37954,0.6425021250367982
sentiment analysis,2017.0,85,101.56354,0.6425021250367982
sentiment analysis,2018.0,64,110.38982,0.6425021250367982
sentiment analysis,2019.0,47,116.04962,0.6425021250367982
crf,2005.0,1,0.85796,0.7800276941016091
sentiment analysis,2020.0,118,118.0,0.6425021250367982
crf,2006.0,2,1.3670021,0.7800276941016091
sentiment analysis,2021.0,85,116.04962,0.6425021250367982
crf,2007.0,1,2.0983949,0.7800276941016091
crf,2008.0,10,3.1032813,0.7800276941016091
sentiment analysis,2022.0,81,110.38982,0.6425021250367982
crf,2009.0,6,4.4215126,0.7800276941016091
crf,2010.0,14,6.069268,0.7800276941016091
crf,2011.0,5,8.026341,0.7800276941016091
crf,2012.0,13,10.226212,0.7800276941016091
crf,2013.0,5,12.552429,0.7800276941016091
crf,2014.0,9,14.8441925,0.7800276941016091
crf,2015.0,11,16.912243,0.7800276941016091
crf,2016.0,14,18.563578,0.7800276941016091
crf,2017.0,11,19.630796,0.7800276941016091
crf,2018.0,20,20.0,0.7800276941016091
crf,2019.0,5,19.630796,0.7800276941016091
crf,2020.0,19,18.563578,0.7800276941016091
crf,2021.0,12,16.912243,0.7800276941016091
crf,2022.0,5,14.8441925,0.7800276941016091
dragons,2015.0,1,1.0,0.9964494917021433
dragons,2018.0,1,0.5102282,0.9964494917021433
dragons,2020.0,1,0.15425335,0.9964494917021433
dragons,2022.0,1,0.02564129,0.9964494917021433
additive,1997.0,1,0.14978883,0.8998479496682036
additive,2007.0,1,1.389151,0.8998479496682036
additive,2008.0,1,1.5527909,0.8998479496682036
additive,2009.0,1,1.7009169,0.8998479496682036
additive,2013.0,2,2.0,0.8998479496682036
additive,2014.0,1,1.9798547,0.8998479496682036
additive,2016.0,1,1.825828,0.8998479496682036
additive,2018.0,1,1.5527909,0.8998479496682036
additive,2019.0,1,1.389151,0.8998479496682036
additive,2020.0,2,1.2178466,0.8998479496682036
additive,2021.0,2,1.0462666,0.8998479496682036
additive,2022.0,4,0.8808435,0.8998479496682036
argumentation quality,2016.0,1,1.0,0.9957576231289397
argumentation quality,2017.0,1,0.90811384,0.9957576231289397
argumentation quality,2018.0,1,0.6800818,0.9957576231289397
argumentation quality,2022.0,1,0.031120777,0.9957576231289397
depressed,2017.0,3,3.0,0.9909005177455034
depressed,2018.0,1,1.4170997,0.9909005177455034
depressed,2019.0,1,0.1493612,0.9909005177455034
uwm,2013.0,2,2.0,0.9909005173204605
uwm,2014.0,2,0.94473314,0.9909005173204605
uwm,2015.0,1,0.099574134,0.9909005173204605
